Date,Invested In,Round,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor,Investor
"Nov, 2013",Seedrs,£2.58M / Equity Crowdfunding,Faber ventures,Seedrs,,,,,,,,,,,,,,,,,,,
"Jul, 2009",Thelial Technologies,€60k / Angel,Biocant Ventures,,,,,,,,,,,,,,,,,,,,
"Jun, 2016",Endado,€300k / Venture,Busy Angels,Banco Sabadell,Big Sur Ventures,,,,,,,,,,,,,,,,,,
"Feb, 2013",Feedzai,$2.4M / Series A,Data Collective,Sapphire Ventures,,,,,,,,,,,,,,,,,,,
"May, 2014",Feedzai,$4.16M / Venture,—,,,,,,,,,,,,,,,,,,,,
"Jul, 2013",Tradiio,undisclosed amount / Venture,Microsoft Accelerator,,,,,,,,,,,,,,,,,,,,
"Nov, 2016",Kinematix,€2M / Venture,Portugal Ventures,,,,,,,,,,,,,,,,,,,,
"Apr, 2012",eSolidar,$100k / Seed,—,,,,,,,,,,,,,,,,,,,,
"Apr, 2012",eSolidar,$100k / Seed,—,,,,,,,,,,,,,,,,,,,,
"Aug, 2013",eSolidar,$125k / Seed,—,,,,,,,,,,,,,,,,,,,,
